1025, 50-55, 4.00
1012, 25-34, 4.50
1050, 25-34, 3.40
1039, 25-34, 3.83
1040, 45-49, 4.00
1040, 35-44, 3.75
1025, 35-44, 4.00
1013, 25-34, 3.71
1015, 25-34, 4.00
1037, 25-34, 4.00
1047, 25-34, 4.00
1020, 25-34, 3.58
1028, 35-44, 3.50
1040, 50-55, 3.75
1028, 50-55, 3.50
1025, 45-49, 4.25
1037, 50-55, 4.25
1037, 45-49, 4.00
1039, 45-49, 4.50
1043, 56+, 3.50
1020, 35-44, 3.81
1025, 25-34, 4.10
1028, 25-34, 3.50
1040, 25-34, 3.42
1037, 35-44, 3.69
1013, 35-44, 4.25
1047, 35-44, 3.50
1012, 35-44, 3.50
1015, 35-44, 4.50
1050, 35-44, 3.64
1039, 35-44, 3.75
1015, 50-55, 4.50
1039, 50-55, 3.50
1043, 18-24, 3.50
1047, 45-49, 4.00
1020, 45-49, 4.00
1015, 45-49, 4.50
1030, 50-55, 4.00
1010, 25-34, 3.60
1040, 56+, 3.00
1025, 56+, 3.75
1025, 18-24, 4.50
1043, 25-34, 3.83
1030, 35-44, 3.00
1040, 18-24, 3.50
1030, 45-49, 3.00
1043, 50-55, 4.50
1010, 45-49, 3.50
1020, 56+, 3.00
1037, 18-24, 4.00
1043, 35-44, 3.75
1030, 25-34, 3.00
1050, 18-24, 3.00
1013, 18-24, 4.00
1020, 18-24, 3.50
1010, 35-44, 3.28
1010, 50-55, 3.75
1015, 18-24, 4.50
1043, 45-49, 4.25
